season,player_name,team,role,batting_avg,batting_sr,runs_scored,wickets,bowling_avg,economy
2009,YK Pathan,RR,All,21.75,139.57219251336898,261.0,7.0,33.142857142857146,6.628571428571429
2009,Yuvraj Singh,PBKS,All,28.333333333333332,115.64625850340136,340.0,6.0,23.5,7.05
2009,Z Khan,MI,Bowl,0.0,0.0,0.0,6.0,22.5,6.428571428571429
2010,A Kumble,RCB,Bowl,0.0,0.0,0.0,17.0,22.647058823529413,6.078947368421052
2010,A Mishra,DC,Bowl,0.0,0.0,0.0,17.0,20.41176470588235,6.547169811320755
2010,A Nehra,DC,Bowl,0.0,0.0,0.0,6.0,15.833333333333334,6.785714285714286
2010,A Symonds,DC_OLD,All,30.642857142857142,125.80645161290323,429.0,12.0,30.416666666666668,6.886792452830188
2010,AA Jhunjhunwala,RR,Bat,20.333333333333332,110.24096385542168,183.0,0.0,0.0,0.0
2010,AB Agarkar,KKR,Bowl,0.0,0.0,0.0,4.0,48.25,8.772727272727273
2010,AB Dinda,KKR,Bowl,0.0,0.0,0.0,9.0,16.333333333333332,6.345323741007194
2010,AB McDonald,DC,All,65.0,125.0,65.0,5.0,27.4,9.785714285714286
2010,AB de Villiers,DC,Bat,15.857142857142858,93.27731092436974,111.0,0.0,0.0,0.0
2010,AC Gilchrist,DC_OLD,Bat,18.0625,156.21621621621622,289.0,0.0,0.0,0.0
2010,AC Voges,RR,Bat,45.25,126.57342657342659,181.0,0.0,0.0,0.0
2010,AD Mascarenhas,RR,Bowl,0.0,0.0,0.0,4.0,16.25,8.125
2010,AD Mathews,KKR,All,33.285714285714285,126.63043478260869,233.0,8.0,38.625,8.24
2010,AG Murtaza,MI,Bowl,0.0,0.0,0.0,3.0,28.666666666666668,7.166666666666667
2010,AM Nayar,MI,Bat,29.0,113.72549019607843,58.0,0.0,0.0,0.0
2010,AP Dole,RR,Bowl,0.0,0.0,0.0,5.0,21.0,9.545454545454545
2010,AP Tare,MI,Bat,12.5,138.88888888888889,50.0,0.0,0.0,0.0
2010,AS Raut,RR,Bat,28.0,116.66666666666667,56.0,0.0,0.0,0.0
2010,AT Rayudu,MI,Bat,27.384615384615383,144.71544715447155,356.0,0.0,0.0,0.0
2010,Anirudh Singh,DC_OLD,Bat,15.75,95.45454545454545,63.0,0.0,0.0,0.0
2010,BB McCullum,KKR,Bat,28.5,103.63636363636364,114.0,0.0,0.0,0.0
2010,BJ Hodge,KKR,Bat,24.75,110.00000000000001,99.0,0.0,0.0,0.0
2010,Bipul Sharma,PBKS,Bowl,0.0,0.0,0.0,3.0,31.333333333333332,9.4
